"name"   "avgft"   "maxft"   "RMSFT"   "avgstretch"   "maxstretch"   "RMSS"   "avgbsld"   "maxbsld"   "RMSBSLD"
"simulations/tsaf_cor_recu"   6366.9900334383   299921   NA   5.67688429296137   36353   149.136966302723   3.64566687434946   5211.5   51.3953549703608
"simulations/tsaf_cor_reqt"   6363.25533227283   298369   NA   5.79819193542537   35734   160.261530260784   3.74965495988169   4935.4   56.2304217314008
"simulations/sgd_symm_abs_cor_recu"   6376.47923362443   299899   NA   5.84525061161077   35734   148.993736564866   3.78955258642357   4182.2   51.197112400378
"simulations/sgd_symm_squared_cor_reqt"   6356.72953391986   226808   NA   5.91651897989207   35704   150.981277868256   3.68568254741375   4142.8   49.48391893151
"simulations/sgd_symm_abs_cor_reqt"   6371.14361155299   275289   NA   6.44419513084684   35734   202.975566038455   3.9769649797604   6440.6   70.3160356220866
"simulations/sgd_symm_abs_cor_tsaf"   6372.64783192113   272945   NA   6.48926107869542   37437   151.469265253168   3.76157775033481   4528.7   49.9208478564051
"simulations/sgd_symm_squared_cor_tsaf"   6425.37762014522   239867   NA   7.19094376258106   35734   230.490190602526   3.92339753048349   6119.4   52.3442039684608
"simulations/tsaf_cor_tsaf"   6441.76471447586   276375   NA   7.3516313163746   36072   222.974440813456   4.10390915573163   5215.4   60.896006185037
"simulations/sgd_weighted_symm_abs_cor_reqt"   6447.09734982523   205861   NA   7.38863100407737   56879   217.957241474476   4.43179440489709   13407.4   65.8896487643287
"simulations/sgd_symm_squared_cor_recu"   6438.90204958391   296203   NA   7.58611523860285   59771   223.437524088045   4.373329650911   5977.1   59.8919996799846
"simulations/sgd_weighted_symm_abs_cor_recu"   6533.29965154909   224603   NA   8.68078311732734   57439   229.83171524064   5.23031624232187   5743.9   67.9128331275358
"simulations/sgd_weighted_symm_squared_cor_recu"   6506.02757307189   193356   NA   8.72522091189579   38846   191.372510144979   4.97383204018382   6117.2   65.7349177690139
"simulations/sgd_asym_weak_abs_cor_tsaf"   6538.27982122953   225067   NA   8.98082539486671   56553   208.616287478815   5.56407404600648   6117.2   68.1925618903834
"simulations/double_reqt"   6548.18611282451   227158   NA   9.24782645750818   57687   229.327897496542   5.52010793364764   5768.7   70.9169170219272
"simulations/sgd_weighted_symm_abs_cor_tsaf"   6537.77622309515   216789   NA   9.37196882001625   43159   277.986061251096   4.94224290733372   5775.1   65.6825808519472
"simulations/sgd_asym_weak_squared_cor_recu"   6583.7723436029   193356   NA   9.39381904399463   27534   179.829136996323   5.76280266400209   4750.3   69.5635011702816
"simulations/sgd_asym_weak_abs_cor_recu"   6534.48458483481   201799   NA   9.4223831426898   54958   210.532748167923   5.5661819755871   5495.8   68.1711672714445
"simulations/sgd_weighted_symm_squared_cor_reqt"   6525.07814173944   195049   NA   9.53600770475548   59239   215.801183793253   5.4619905592737   5923.9   66.0085214086451
"simulations/sgd_weighted_asym_weak_abs_cor_reqt"   6606.43325866528   204095   NA   9.64851579656449   54729   210.99614722004   5.75070684740867   7124.2   73.3464202507275
"simulations/sgd_weighted_symm_squared_cor_tsaf"   6585.97196160547   215869   NA   9.75046042708333   56319   240.117294405881   5.73530896404814   6053.5   72.0226117124014
"simulations/sgd_asym_strong_squared_cor_recu"   6623.53748011557   203282   NA   10.0904228946337   53151   227.707403955832   6.06760708759433   7521.4   78.064228014717
"simulations/sgd_asym_strong_abs_cor_tsaf"   6613.83354976247   195965   NA   10.1093430000121   59499   239.743648201361   6.02328438370195   5949.9   72.9847141679015
"simulations/sgd_weighted_asym_strong_abs_cor_tsaf"   6644.38237617548   202704   NA   10.1819532121979   56537   221.567353454352   6.43021116592568   7336.3   81.5641858227935
"simulations/sgd_asym_weak_squared_cor_reqt"   6579.39143914554   204840   NA   10.2860564656972   61268   229.008235336868   5.91786259517646   6126.8   68.8201641991888
"simulations/sgd_weighted_asym_strong_squared_cor_reqt"   6597.7082372929   201928   NA   10.3458754916442   52346   229.090820383859   6.0019054521356   5234.6   73.5565716426296
"simulations/reqtime"   6642.2954041273   200533   NA   10.4051424371611   55615   229.311336110867   6.43680479800452   5561.5   80.6398311436654
