
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        3    0.001    0.000    0.040    0.013 __init__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:105(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:124(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:148(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:160(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:190(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:199(_handle_resize)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:206(c_longdouble)
      898    0.017    0.000    0.128    0.000 __init__.py:213(_format_widgets)
        1    0.000    0.000    0.003    0.003 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:234(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:239(c_char)
      898    0.003    0.000    0.133    0.000 __init__.py:240(_format_line)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_char_p)
     8082    0.017    0.000    0.025    0.000 __init__.py:249(_need_update)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:257(_update_widgets)
        4    0.000    0.000    0.000    0.000 __init__.py:260(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:261(c_bool)
     8082    0.031    0.000    0.215    0.000 __init__.py:264(update)
        1    0.000    0.000    0.000    0.000 __init__.py:266(_reset_cache)
        1    0.000    0.000    0.001    0.001 __init__.py:287(start)
        1    0.000    0.000    0.000    0.000 __init__.py:292(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:295(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:333(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:350(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:360(_FuncPtr)
        2    0.000    0.000    0.000    0.000 __init__.py:379(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:386(__getitem__)
        1    0.000    0.000    0.042    0.042 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:433(LibraryLoader)
        1    0.000    0.000    0.000    0.000 __init__.py:434(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:447(LoadLibrary)
        2    0.000    0.000    0.000    0.000 __init__.py:491(PYFUNCTYPE)
        2    0.000    0.000    0.000    0.000 __init__.py:492(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:68(UnknownLength)
        1    0.000    0.000    0.000    0.000 __init__.py:71(ProgressBar)
        3    0.000    0.000    0.000    0.000 __init__.py:79(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _ffi.py:2(<module>)
       42    0.000    0.000    0.000    0.000 _structseq.py:22(__get__)
      322    0.005    0.000    0.007    0.000 _structseq.py:70(structseq_new)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       66    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
     7208    0.026    0.000    0.026    0.000 _weakrefset.py:70(__contains__)
